,filename,probability,xmin,ymin,xmax,ymax,height
0,002112.png,0.1976284584980237,549.06,176.35,559.3,201.78,25.430000000000007
1,007256.png,0.0833333333333333,552.39,182.63,560.08,198.0,15.370000000000005
2,000940.png,0.2066115702479338,372.24,177.96999999999997,380.9200000000001,196.82,18.850000000000023
3,000940.png,0.1739130434782608,419.15,179.46,427.34,194.34,14.879999999999995
4,000940.png,0.3642857142857143,666.13,177.94,669.11,187.36,9.420000000000016
5,000940.png,0.300287356321839,659.23,178.24,662.45,187.41,9.16999999999996
6,001649.png,0.6818181818181819,607.3200000000002,169.02999999999997,617.56,197.25,28.220000000000027
7,001378.png,0.0790513833992094,394.36,183.88,409.13,199.44,15.560000000000002
8,004662.png,0.0785123966942148,458.0,211.35,483.9100000000001,237.76,26.409999999999968
9,006624.png,0.0566666666666666,591.7,180.59000000000003,604.8500000000001,192.49,11.899999999999975
10,006624.png,0.075098814229249,458.77,182.82,473.4100000000001,195.96,13.139999999999986
11,004529.png,0.0,411.37,210.36,443.3200000000001,234.39,24.029999999999973
12,004149.png,0.7509881422924901,555.94,159.27999999999997,564.5999999999999,185.01,25.730000000000015
13,004939.png,0.3678929765886287,633.75,166.75,646.0799999999999,207.05,40.30000000000001
14,007366.png,0.0068292682926829,968.39,211.93,969.56,211.93,0.0
15,005037.png,0.8333333333333334,434.72,171.45,450.38,210.43,38.98000000000002
16,005786.png,0.4545454545454545,232.92,181.41,243.67,208.16,26.75
17,005786.png,0.0,110.18,213.45,134.04,232.83,19.379999999999995
18,004414.png,0.0,574.87,163.38,584.9,182.47000000000003,19.090000000000032
19,004414.png,0.0826446280991735,426.89,170.22999999999996,440.83,195.93,25.700000000000045
20,004414.png,0.9090909090909092,541.1199999999999,161.91,548.21,182.23,20.319999999999997
21,004414.png,0.2043010752688172,568.48,163.47000000000003,576.9000000000001,178.37,14.899999999999975
22,004838.png,0.72,524.8,178.79,531.53,202.58,23.79000000000002
23,001711.png,0.0834782608695652,100.53,189.41,121.52,218.58,29.170000000000016
24,001711.png,0.1436672967863894,221.78,181.63,233.83,203.8,22.170000000000016
25,001711.png,0.0590277777777777,308.05,183.18,316.21,190.18,7.0
26,001711.png,0.2868965517241379,615.44,171.12,623.5999999999999,186.68,15.560000000000002
27,004786.png,0.5192307692307692,729.51,177.66999999999996,740.4100000000001,209.37,31.700000000000045
28,004786.png,0.5902777777777778,953.76,174.5,974.0,224.19,49.69
29,004786.png,0.5664335664335665,1198.01,186.83,1219.47,226.03,39.19999999999999
30,004786.png,0.25,985.6,178.78999999999996,1005.35,211.64,32.85000000000002
31,004786.png,0.7391304347826086,976.62,180.58,988.59,209.84,29.25999999999999
32,001579.png,1.0,694.8400000000001,165.75,703.0,197.64,31.889999999999983
33,003181.png,0.6538461538461539,529.15,178.93,533.86,195.54,16.610000000000014
34,003181.png,0.3611111111111111,446.79,181.09000000000003,452.01,192.75,11.659999999999968
35,003181.png,0.3735632183908046,626.1399999999999,171.64,637.06,194.31,22.670000000000016
36,003181.png,0.4513888888888889,623.61,172.76,635.38,195.43,22.670000000000016
37,003181.png,0.5555555555555556,620.53,173.88,628.1000000000001,195.43,21.55000000000001
38,003181.png,0.1899999999999999,577.6500000000001,176.68,583.54,188.15000000000003,11.470000000000027
39,002775.png,0.0790513833992094,140.56,214.41000000000005,179.7,246.07,31.659999999999968
40,002775.png,0.0833333333333333,150.23,225.84,180.58,256.18,30.340000000000032
41,002775.png,0.0757894736842105,661.06,202.18000000000004,663.4499999999998,202.52,0.339999999999975
42,002775.png,1.0,749.8,166.39,767.27,228.01,61.620000000000005
43,002775.png,0.2482758620689655,594.0700000000002,176.31,599.02,189.91000000000005,13.600000000000025
44,002775.png,0.4266666666666666,569.17,176.88,574.12,190.73,13.850000000000025
45,001058.png,0.0,290.41,205.3,315.06,226.23,20.92999999999995
46,001067.png,0.0266666666666666,144.0,195.96000000000004,157.72000000000003,210.34000000000003,14.379999999999995
47,001067.png,0.0492307692307692,1021.02,192.19,1032.5700000000002,210.32,18.129999999999995
48,004978.png,0.1847222222222222,367.03,187.38,377.15,199.54,12.159999999999968
49,004978.png,0.8264462809917354,820.06,175.37,828.5900000000001,200.65,25.279999999999973
50,000898.png,0.034090909090909,717.52,144.8,741.51,173.62,28.819999999999997
51,007265.png,0.7575757575757576,860.5,171.18,919.05,287.69,116.51
52,007265.png,0.8333333333333334,458.1,180.1,480.61,237.73,57.63
53,007265.png,1.0,438.06,175.14999999999998,460.08,222.64,47.49000000000001
54,007265.png,0.9090909090909092,513.51,183.56,528.1099999999999,232.78000000000003,49.22000000000003
55,007265.png,1.0,574.3800000000001,179.59999999999997,588.23,218.19,38.59000000000003
56,007265.png,1.0,223.23,190.38,256.09,274.24,83.86000000000001
57,007265.png,0.9090909090909092,612.24,178.66999999999996,625.6000000000001,218.49,39.82000000000005
58,007265.png,0.9090909090909092,633.52,179.66,641.9299999999998,201.67,22.00999999999999
59,007265.png,1.0,623.3699999999999,179.41,633.02,209.09,29.680000000000007
60,007265.png,0.9090909090909092,642.92,177.93,651.33,200.93,23.0
61,007265.png,1.0,649.1000000000001,177.93,659.99,208.85,30.91999999999996
