media_object_id,media_id,filename,bbox,score
02bbfce0-6cd9-45ef-b21a-082aab0ff1dd,d9051eda-343d-4e4c-839a-3b8f8c24bcd4,002112,"[554.18, 189.065, 10.240000000000009, 25.430000000000007]",0.1976284584980237
718cc290-c20a-4e54-980f-eabeabf5dec7,04156827-cee7-4ad0-8329-a9464988ffc8,007256,"[556.235, 190.315, 7.690000000000055, 15.370000000000005]",0.08333333333333333
43a7e4a6-3781-4a60-ae29-7661eeb57a24,36cc7dad-395d-4a3d-806f-21c850c6e30e,000940,"[376.58000000000004, 187.39499999999998, 8.680000000000007, 18.849999999999994]",0.20661157024793386
6699e814-d4cf-4821-884d-522588cdd84c,36cc7dad-395d-4a3d-806f-21c850c6e30e,000940,"[423.245, 186.9, 8.189999999999998, 14.879999999999995]",0.17391304347826086
3f0794e3-3e13-4be1-95e3-fd6384a71214,36cc7dad-395d-4a3d-806f-21c850c6e30e,000940,"[667.62, 182.65, 2.980000000000018, 9.420000000000016]",0.3642857142857143
88060af1-0268-4bcb-a085-1ac56fb078ec,36cc7dad-395d-4a3d-806f-21c850c6e30e,000940,"[660.84, 182.825, 3.2200000000000273, 9.169999999999987]",0.30028735632183906
109b99e5-e441-4fd0-8c7a-b72da034e1e1,53d42e02-2066-4baa-9e0f-48be8f6427e4,001649,"[612.44, 183.14, 10.239999999999895, 28.22]",0.6818181818181819
8286b30a-a4b9-48d0-a27c-5e2795b86bc6,1610b661-7a8f-47c7-bfc6-792f20dae361,001378,"[401.745, 191.66, 14.769999999999982, 15.560000000000002]",0.07905138339920949
2834745c-5208-4f60-84b2-196630286a8c,9efb8896-fe0d-4c8f-b1dd-432595115991,004662,"[470.95500000000004, 224.555, 25.910000000000025, 26.409999999999997]",0.07851239669421488
f34a3367-a870-4e66-b02f-4969f4e99e32,1ca7e91d-f2bf-4fa3-aa3c-2e545e6347e7,006624,"[598.2750000000001, 186.54000000000002, 13.149999999999977, 11.900000000000006]",0.05666666666666667
77170581-9252-4357-83ad-3d2ff095c530,1ca7e91d-f2bf-4fa3-aa3c-2e545e6347e7,006624,"[466.09000000000003, 189.39, 14.640000000000043, 13.140000000000015]",0.07509881422924901
95b497b9-42c1-4fa7-bff5-9bf176acf66d,6372a216-e4f3-47c8-984c-5967946871cd,004529,"[427.345, 222.375, 31.94999999999999, 24.029999999999973]",0.0
addd019a-d995-4236-a5b8-b1d378b45fc5,32171ec5-620d-42e8-b8f1-f931cda94670,004149,"[560.27, 172.14499999999998, 8.659999999999968, 25.72999999999999]",0.7509881422924901
1c2f9148-3369-4c0a-a4e0-c9455df2be76,300716e4-9ad7-4b11-9aef-013f89dbdabc,004939,"[639.915, 186.9, 12.330000000000041, 40.30000000000001]",0.36789297658862874
4fe75031-4585-4098-89c7-94db3956e771,2640d24b-c09b-4f5a-bd05-28f64c04446a,007366,"[968.9749999999999, 211.93, 1.169999999999959, 0.0]",0.006829268292682928
091b7d5c-64b3-4bd3-81d3-a05fb374425b,5bd7da91-a86a-43fb-95d1-d1590d080e62,005037,"[442.55, 190.94, 15.659999999999968, 38.98000000000002]",0.8333333333333334
c966aa40-2571-4fe7-913a-808e6ab43107,19196a2e-125e-4291-b277-1ffe3e533750,005786,"[238.295, 194.785, 10.75, 26.75]",0.45454545454545453
850d9535-7a60-441e-86e7-6271c8112301,19196a2e-125e-4291-b277-1ffe3e533750,005786,"[122.11, 223.14, 23.859999999999985, 19.380000000000024]",0.0
